Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
22.14,0.43,661,95,114,56.72
23.08,23.08,1234,36,114,0.78
28.26,1.66,1259,59,145,17.44
13.82,0.86,1138,291,128,83.15
8.76,0.15,707,476,143,274.87
19.48,0.85,1406,332,116,184.44
8.59,0.21,1259,152,67,233.67
16.85,0.39,936,221,88,203.12
18.41,0.97,1426,247,135,99.04
11.2,0.51,1407,275,140,121.39
18.09,0.35,1483,96,79,186.29
20.27,0.48,1494,305,74,520.07
14.94,0.26,958,342,133,283.1
6.45,0.13,892,243,115,187.03
14.68,0.27,1446,67,150,70.23
7.34,0.29,1148,56,94,34.62
11.03,0.79,764,436,76,122.39
18.27,0.54,1289,384,143,234.22
20.98,0.95,1462,258,139,119.86
9.24,0.71,1203,220,121,56.93
22.57,0.49,1492,161,82,269.86
10.56,0.29,509,371,125,110.02
10.77,0.28,1096,44,133,27.89
17.76,3.55,1466,332,138,35.29
23.82,1.04,857,326,63,203.14
23.08,0.49,937,476,138,304.46
4.72,0.11,1348,121,137,102.17
26.55,2.04,1252,93,85,35.66
19.18,0.53,711,403,115,180.33
4.5,0.35,1284,393,72,180.22
7.26,0.14,1169,43,130,40.1
2.24,0.08,552,75,71,32.65
25.83,1.12,1304,105,110,57.41
23.71,0.95,1155,128,122,60.49
17.24,0.86,1352,276,85,176.01
29.96,1.15,663,371,112,114.43
15.7,0.4,965,69,145,36.05
10.5,0.18,1074,423,111,477.49
18.42,0.54,794,495,125,214.51
26.57,0.86,946,178,97,107.27
12.7,0.27,710,429,69,415.28
8.01,0.21,597,164,111,67.29
2.08,0.05,582,306,120,123.48
24.35,1.06,1184,94,80,63.92
26.95,1.59,663,134,118,25.52
11.17,0.8,1254,499,68,256.97
5.8,0.15,600,386,100,179.1
23.82,2.65,1210,76,70,23.62
16.65,0.48,782,224,116,104.76
6.42,0.17,1342,296,118,254.26
