Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
23.76,0.99,763,185,102,66.43
23.25,1.01,1385,47,79,37.94
11.23,0.34,930,61,109,34.38
8.72,0.58,1002,105,78,40.56
2.47,0.09,1185,410,99,269.37
15.16,0.49,1351,90,69,109.04
8.06,0.29,1311,354,100,257.97
9.36,0.43,789,466,123,130.14
20.0,2.5,534,263,106,21.2
13.68,0.25,957,101,95,111.35
9.53,0.32,551,36,115,10.27
15.22,1.09,1099,306,135,69.57
6.03,0.21,620,286,76,133.99
2.14,0.04,906,336,103,316.24
16.45,2.06,1391,76,109,15.49
22.35,0.43,1237,260,103,324.6
4.69,0.11,570,104,132,38.3
21.51,1.54,1470,386,101,156.94
20.79,0.61,1272,188,91,179.13
29.29,0.6,685,426,143,199.23
19.03,0.56,996,444,130,231.2
20.1,3.35,660,143,150,7.55
13.6,0.65,1127,382,99,181.97
7.86,1.31,988,371,140,31.42
14.36,0.28,949,441,76,564.83
22.71,0.42,1284,347,126,382.4
17.99,0.46,1419,156,76,227.82
26.06,1.86,649,401,63,115.76
3.87,0.1,595,114,101,51.98
29.38,0.67,829,86,131,47.73
15.08,3.77,1306,286,85,35.15
5.8,0.11,1333,302,64,663.32
11.46,0.2,680,487,144,263.55
7.53,0.14,786,123,148,70.27
19.35,1.02,593,334,149,50.43
11.73,0.27,1244,154,96,173.39
15.73,2.25,962,395,137,38.78
17.27,0.35,622,55,150,22.51
7.87,0.13,1168,262,148,250.35
18.62,2.07,1059,226,93,46.3
29.63,0.6,1221,212,103,248.21
2.28,0.1,1113,318,69,233.9
8.99,2.25,1468,232,105,25.92
26.45,13.23,784,240,116,6.49
3.92,0.2,504,375,133,55.71
26.89,0.63,551,377,112,158.33
23.21,0.39,1097,226,73,404.23
25.05,1.67,1129,218,87,84.87
19.18,0.47,1397,7,147,5.43
5.56,0.13,936,402,133,242.0
20.08,0.56,880,482,115,264.51
26.49,1.56,570,207,83,48.28
24.27,0.54,1182,163,82,211.2
14.11,0.31,1241,34,70,54.87
7.79,0.17,822,361,134,202.95
29.76,1.29,963,35,116,13.41
13.8,0.34,727,488,103,279.61
6.55,0.13,1388,269,140,268.75
3.97,0.13,754,388,69,258.96
21.73,0.51,573,134,82,79.79
22.33,0.93,1040,113,130,43.41
13.64,1.52,898,147,113,20.97
22.13,0.5,551,346,87,193.98
14.16,0.38,1018,112,94,90.4
29.91,0.7,1152,141,92,150.88
6.91,0.19,922,346,78,297.49
20.38,1.02,1426,339,79,244.53
25.48,4.25,1385,19,142,2.22
12.01,0.41,682,129,92,56.02
6.49,1.62,1178,394,71,52.38
19.43,0.93,982,402,135,122.19
24.56,1.29,768,266,113,68.84
23.79,0.41,888,451,96,484.13
2.16,0.06,816,36,138,15.33
8.09,0.18,1427,387,125,397.13
26.03,1.63,902,402,102,113.54
16.44,0.46,502,241,122,70.88
25.29,0.55,826,390,149,198.83
16.66,1.04,692,256,67,84.71
4.69,0.22,1259,12,90,7.16
10.64,2.66,515,426,120,14.63
25.03,0.83,1378,167,130,106.77
10.19,0.22,527,288,126,111.59
29.48,0.63,1025,30,103,27.94
8.46,0.71,544,60,96,8.1
5.07,0.14,824,422,90,279.84
8.96,0.41,632,401,141,78.56
7.94,0.61,1016,170,80,56.2
26.02,1.08,1252,58,150,23.33
13.49,1.93,1306,140,103,24.82
12.66,0.4,772,162,62,127.69
5.26,0.09,695,54,113,38.82
18.95,0.53,1465,431,72,627.11
25.6,0.6,1198,425,145,299.64
12.35,2.47,1094,460,148,34.0
24.91,0.53,531,487,93,261.38
19.09,0.32,614,275,78,258.28
25.65,0.48,1157,476,94,626.16
14.55,0.34,1442,161,131,151.68
26.4,1.39,861,262,88,97.37
26.51,0.88,1453,421,126,292.51
12.2,6.1,1007,290,128,9.13
16.69,0.52,567,188,137,49.95
19.41,1.02,1070,25,93,10.95
3.18,0.06,1389,223,130,252.56
25.0,25.0,972,114,99,2.24
19.55,2.79,959,281,129,29.28
13.85,2.77,974,208,72,28.14
10.94,0.24,1295,473,129,432.89
10.97,10.97,1457,19,122,0.45
9.51,0.17,1031,202,126,184.93
6.19,0.18,1092,340,118,216.41
10.19,0.19,822,140,75,164.58
20.11,0.52,640,197,75,130.02
19.91,0.69,763,1,74,0.6
18.75,6.25,750,93,122,3.43
18.72,0.33,861,236,96,240.14
26.08,0.82,646,475,150,130.12
22.41,0.75,567,257,102,85.37
22.15,0.45,1487,349,143,357.27
4.14,0.09,1180,103,118,94.76
3.78,0.08,753,465,67,493.86
13.88,0.66,1114,225,118,89.34
13.9,0.32,1087,189,60,297.46
2.94,0.1,859,342,86,200.86
5.97,0.85,1062,8,67,1.78
11.92,0.33,507,334,112,109.23
17.74,0.33,1421,373,138,412.95
29.07,0.52,1220,481,143,458.82
4.29,0.31,767,227,67,71.92
14.92,0.79,1170,157,85,81.63
14.97,0.34,1345,116,150,91.59
21.97,0.41,625,496,134,247.93
8.9,0.49,871,191,77,78.48
8.16,0.26,1326,474,123,320.75
17.11,0.68,616,429,101,131.67
28.27,0.91,1439,398,86,413.77
2.56,0.07,1186,397,114,302.09
23.21,0.97,1201,3,133,1.3
7.48,0.14,955,484,100,493.92
24.71,0.44,1241,374,75,695.08
24.6,0.68,504,93,128,26.49
17.52,0.37,854,440,121,294.09
5.17,0.57,1046,344,142,45.97
13.16,0.69,515,288,64,88.4
21.28,10.64,1323,318,136,12.37
13.44,6.72,570,71,81,2.0
18.86,0.55,829,140,64,124.37
15.03,3.76,904,411,101,29.41
14.4,0.51,1478,39,145,22.45
11.97,0.34,624,432,86,220.71
18.87,0.5,905,495,77,439.13
15.16,0.31,1228,279,92,364.24
12.04,0.38,1173,46,84,40.71
9.64,0.4,968,123,104,55.18
10.22,0.22,861,218,93,187.51
16.34,0.37,834,404,123,241.95
17.46,0.43,647,469,97,254.05
25.05,0.68,684,241,88,138.01
26.16,8.72,747,180,67,12.04
28.61,1.1,1038,345,66,282.25
20.41,1.57,1389,154,103,54.0
26.81,0.99,1419,380,81,360.56
9.91,0.76,1371,280,62,161.47
27.44,0.48,944,167,118,152.75
22.98,5.75,916,370,127,21.33
24.41,1.11,557,294,87,82.79
24.77,0.69,529,332,86,146.62
26.94,0.56,1475,342,85,571.0
19.83,6.61,1045,473,91,32.59
4.17,0.15,1083,347,86,242.96
27.78,1.11,1435,351,83,303.75
24.5,1.88,827,354,131,58.25
24.27,0.74,1075,54,119,32.0
22.66,0.57,795,282,86,207.27
9.72,0.28,530,92,131,25.84
3.19,0.53,1072,106,77,17.76
24.94,0.5,721,352,91,278.22
20.98,0.72,868,111,69,81.38
27.41,3.92,973,199,117,23.14
26.44,0.73,1300,142,143,93.51
11.25,0.21,530,188,75,142.34
15.85,0.34,1158,20,85,25.4
28.92,9.64,1412,68,95,6.06
20.69,1.09,629,368,94,93.48
12.97,0.27,720,448,121,256.11
27.19,1.29,1273,346,114,162.87
10.47,0.28,1332,322,124,258.68
26.82,1.92,1129,125,73,54.01
6.87,0.27,1473,84,106,59.4
7.18,0.42,684,256,95,63.02
12.6,0.57,1203,70,95,39.19
6.19,0.13,1152,143,70,224.11
16.27,0.41,1139,140,100,126.56
9.71,0.42,1290,375,122,183.34
22.29,0.5,610,306,147,113.22
